iter	RMSE
0	0.3821472973
1	0.3713214044
2	0.3611351365
3	0.351216208
4	0.3415036519
5	0.3324170671
6	0.323320827
7	0.3150215401
8	0.3067061238
9	0.2988561226
10	0.2917601243
11	0.2846828689
12	0.2777290631
13	0.2713586252
14	0.265480984
15	0.2595693802
16	0.2538941223
17	0.2482275177
18	0.2429353086
19	0.2378074892
20	0.2329948595
21	0.2284941048
22	0.2239787174
23	0.2192314336
24	0.2150710756
25	0.2110998256
26	0.2073049881
27	0.2037818042
28	0.2007450265
29	0.1974321613
30	0.1940685364
31	0.1909959011
32	0.1881649109
33	0.1853565967
34	0.182680497
35	0.1800726025
36	0.1779059575
37	0.1756478204
38	0.1737797026
39	0.1717565874
40	0.1698941465
41	0.1682138599
42	0.1662486966
43	0.1641907659
44	0.1624182793
45	0.160866811
46	0.1595071439
47	0.157950157
48	0.1566057946
49	0.1551767793
50	0.1538058703
51	0.1523170524
52	0.1511763473
53	0.1500679599
54	0.1488302321
55	0.1478895924
56	0.1472932324
57	0.1462594531
58	0.1451482484
59	0.144183244
60	0.1432349015
61	0.142330993
62	0.1413092473
63	0.140467647
64	0.1394918431
65	0.1385550834
66	0.1378786323
67	0.1371581692
68	0.1365042482
69	0.1358146176
70	0.1351752132
71	0.1344546984
72	0.1338317088
73	0.1332896391
74	0.1327581215
75	0.1322159735
76	0.131802077
77	0.1311003147
78	0.1306303532
79	0.1300773881
80	0.1294485235
81	0.1289844034
82	0.1285502348
83	0.1279073087
84	0.1273754965
85	0.1268593204
86	0.1264981614
87	0.1260406266
88	0.125615608
89	0.1252551727
90	0.1248204127
91	0.12426589
92	0.1237113222
93	0.1233061108
94	0.1230137592
95	0.1227303141
96	0.1223409658
97	0.1218876389
98	0.1216069506
99	0.1212228973
100	0.1207849649
101	0.1204981595
102	0.1201153959
103	0.1197954483
104	0.1194584025
105	0.1191058878
106	0.1188488653
107	0.1185107149
108	0.1182073065
109	0.1179018466
110	0.1176421836
111	0.1173012666
112	0.1169773354
113	0.1167452189
114	0.1163551635
115	0.1160862839
116	0.1157133626
117	0.115387942
118	0.1152314567
119	0.1149072531
120	0.1146503523
121	0.1144507458
122	0.1141971208
123	0.1138264714
124	0.1135520404
125	0.1131787126
126	0.1128657067
